Date, Close, Volume, Open, High, Low
11/26/2019,$152.03 ,24635100,$151.36 ,$152.42 ,$151.32 
11/25/2019,$151.23 ,22428590,$150 ,$151.35 ,$149.92 
11/22/2019,$149.59 ,15841680,$150.07 ,$150.30 ,$148.82 
11/21/2019,$149.48 ,18576080,$149.40 ,$149.80 ,$148.50 
11/20/2019,$149.62 ,25720060,$150.31 ,$150.84 ,$148.46 
11/19/2019,$150.39 ,23960160,$150.88 ,$151.33 ,$150.20 
11/18/2019,$150.34 ,21554760,$150.07 ,$150.55 ,$148.98 
11/15/2019,$149.97 ,23508810,$148.93 ,$149.99 ,$148.27 
11/14/2019,$148.06 ,19755100,$147.02 ,$148.41 ,$147 
11/13/2019,$147.31 ,17444230,$146.74 ,$147.46 ,$146.28 
11/12/2019,$147.07 ,18648710,$146.28 ,$147.57 ,$146.06 
11/11/2019,$146.11 ,14370180,$145.34 ,$146.42 ,$144.73 
11/8/2019,$145.96 ,16752940,$143.98 ,$145.99 ,$143.76 
11/7/2019,$144.26 ,17786720,$143.84 ,$144.88 ,$143.77 
11/6/2019,$144.06 ,16575800,$144.37 ,$144.52 ,$143.20 
11/5/2019,$144.46 ,18250170,$144.97 ,$145.02 ,$143.91 
11/4/2019,$144.55 ,16912000,$144.83 ,$145 ,$144.16 
11/1/2019,$143.72 ,33128370,$144.26 ,$144.42 ,$142.97 
10/31/2019,$143.37 ,24605140,$144.90 ,$144.93 ,$142.99 
10/30/2019,$144.61 ,18496590,$143.52 ,$145 ,$142.79 
10/29/2019,$142.83 ,20589470,$144.08 ,$144.50 ,$142.65 
10/28/2019,$144.19 ,35280140,$144.40 ,$145.67 ,$143.51 
10/25/2019,$140.73 ,25959720,$139.34 ,$141.14 ,$139.20 
10/24/2019,$139.94 ,37278400,$139.39 ,$140.42 ,$138.67 
10/23/2019,$137.24 ,31380310,$136.88 ,$137.45 ,$135.61 
10/22/2019,$136.37 ,27935270,$138.97 ,$140.01 ,$136.26 
10/21/2019,$138.43 ,20716040,$138.45 ,$138.50 ,$137.01 
10/18/2019,$137.41 ,32284430,$139.76 ,$140 ,$136.56 
10/17/2019,$139.69 ,22102800,$140.95 ,$141.42 ,$139.02 
10/16/2019,$140.41 ,20841690,$140.79 ,$140.99 ,$139.53 
10/15/2019,$141.58 ,19917760,$140.06 ,$141.79 ,$139.81 
10/14/2019,$139.55 ,13591640,$139.69 ,$140.29 ,$139.52 
10/11/2019,$139.68 ,25551070,$140.12 ,$141.03 ,$139.50 
10/10/2019,$139.10 ,18396610,$138.49 ,$139.67 ,$138.25 
10/9/2019,$138.24 ,20178480,$137.46 ,$138.70 ,$136.97 
10/8/2019,$135.67 ,26783340,$137.08 ,$137.76 ,$135.62 
10/7/2019,$137.12 ,16601280,$137.14 ,$138.18 ,$137.02 
10/4/2019,$138.12 ,23839550,$136.75 ,$138.25 ,$136.42 
10/3/2019,$136.28 ,26379800,$134.95 ,$136.75 ,$133.22 
